"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","150","Создание пользователя без обязательных полей","tests","2026-03-20","passed","2026-03-20","TestUserRegistration","test_user","",""
"","3733","Создание заказа с авторизацией","tests","2026-03-20","passed","2026-03-20","TestOrderCreation","test_order","",""
"","4520","Получение заказов пользователя с авторизацией","tests","2026-03-20","passed","2026-03-20","TestUserOrders","test_order","",""
"","85","Создание пользователя без обязательных полей","tests","2026-03-20","passed","2026-03-20","TestUserRegistration","test_user","",""
"","431","Обновление данных пользователя с авторизацией","tests","2026-03-20","passed","2026-03-20","TestUserDataModification","test_user","",""
"","342","Создание пользователя с существующими данными","tests","2026-03-20","passed","2026-03-20","TestUserRegistration","test_user","",""
"","420","Логин существующего пользователя","tests","2026-03-20","passed","2026-03-20","TestUserLogin","test_user","",""
"","78","Получение заказов пользователя без авторизации","tests","2026-03-20","passed","2026-03-20","TestUserOrders","test_order","",""
"","163","Создание пользователя","tests","2026-03-20","passed","2026-03-20","TestUserRegistration","test_user","",""
"","82","Обновление данных пользователя без авторизации","tests","2026-03-20","passed","2026-03-20","TestUserDataModification","test_user","",""
"","491","Обновление данных пользователя с авторизацией","tests","2026-03-20","passed","2026-03-20","TestUserDataModification","test_user","",""
"","602","Обновление данных пользователя с авторизацией","tests","2026-03-20","passed","2026-03-20","TestUserDataModification","test_user","",""
"","92","Создание заказа без авторизации","tests","2026-03-20","passed","2026-03-20","TestOrderCreation","test_order","",""
"","517","Обновление данных пользователя с авторизацией","tests","2026-03-20","passed","2026-03-20","TestUserDataModification","test_user","",""
"","521","Обновление данных пользователя с авторизацией","tests","2026-03-20","passed","2026-03-20","TestUserDataModification","test_user","",""
"","3752","Создание заказа с валидными ингредиентами","tests","2026-03-20","passed","2026-03-20","TestOrderCreation","test_order","",""
"","507","Обновление данных пользователя с авторизацией","tests","2026-03-20","passed","2026-03-20","TestUserDataModification","test_user","",""
"","645","Обновление данных пользователя с авторизацией","tests","2026-03-20","passed","2026-03-20","TestUserDataModification","test_user","",""
"","517","Обновление данных пользователя с авторизацией","tests","2026-03-20","passed","2026-03-20","TestUserDataModification","test_user","",""
"","612","Обновление электронной почты на уже использованную","tests","2026-03-20","passed","2026-03-20","TestUserDataModification","test_user","",""
"","448","Обновление данных пользователя с авторизацией","tests","2026-03-20","passed","2026-03-20","TestUserDataModification","test_user","",""
"","317","Логин с неверными учетными данными","tests","2026-03-20","passed","2026-03-20","TestUserLogin","test_user","",""
"","419","Логин с неверными учетными данными","tests","2026-03-20","passed","2026-03-20","TestUserLogin","test_user","",""
"","504","Создание заказа без ингредиентов","tests","2026-03-20","passed","2026-03-20","TestOrderCreation","test_order","",""
"","504","Создание заказа с невалидным хэшем ингредиента","tests","2026-03-20","passed","2026-03-20","TestOrderCreation","test_order","",""
"","82","Создание пользователя без обязательных полей","tests","2026-03-20","passed","2026-03-20","TestUserRegistration","test_user","",""
